start_date,agency_name,value
2010-06-11,Department of Infrastructure Transport Regional Development and Local Government,27500.0
2010-05-21,Department of Infrastructure Transport Regional Development and Local Government,52800.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,19734.0
2010-06-16,Department of Infrastructure Transport Regional Development and Local Government,432072.0
2010-06-17,Department of Infrastructure Transport Regional Development and Local Government,80850.0
2010-06-07,Department of Infrastructure Transport Regional Development and Local Government,108680.0
2010-02-25,Department of Infrastructure Transport Regional Development and Local Government,25759.8
2010-10-06,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-06-21,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-06-21,Department of Infrastructure Transport Regional Development and Local Government,139590.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,11000.0
2010-06-09,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-06-21,Department of Infrastructure Transport Regional Development and Local Government,90750.0
2010-02-21,Department of Infrastructure Transport Regional Development and Local Government,76516.0
2010-06-22,Department of Infrastructure Transport Regional Development and Local Government,433900.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,32000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,18000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,35000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,49999.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,26000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,42000.0
2010-07-05,Department of Infrastructure Transport Regional Development and Local Government,17000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,18000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,48000.0
2010-07-12,Department of Infrastructure Transport Regional Development and Local Government,26500.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,11000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,15840.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,28500.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,81000.0
2010-06-16,Department of Infrastructure Transport Regional Development and Local Government,12000.0
2010-06-30,Department of Infrastructure Transport Regional Development and Local Government,70000.0
2010-06-29,Department of Infrastructure Transport Regional Development and Local Government,334954.62
2010-06-28,Department of Infrastructure Transport Regional Development and Local Government,150000.0
2010-06-09,Department of Infrastructure Transport Regional Development and Local Government,18150.0
2010-06-09,Department of Infrastructure Transport Regional Development and Local Government,13255.0
2010-06-24,Department of Infrastructure Transport Regional Development and Local Government,30000.0
